,User,Tweet
0,carlosg_esq,"☕️“Minting for fractions of the costly gas fees”… Well played @GameStop 🤙🏼 #nft #crypto 

https://t.co/Quw6pSDmRp"
1,FJVargasA,"RT @RyzenSorare: 🎁 #Giveaway SORARE 🎁  

Avant de vous proposer mes investissements de la semaine ➡️ Mini-Giveaway 🟢

Tentez de gagner la c…"
2,jimbocryptogoat,"RT @mrdavediamond: A dude just shared in a space that he’s quitting his stable 9-5 job…

Without #crypto trading experience, he’s taking fa…"
3,lily_sweety96,"RT @elrond1love: 🍀 You want some LXMEX ? 🍀

200k LKMEX ▶️ To win 👇
🍀Follow me 
🍀RT &amp; Like
🍀Tag 2 friends

#Elrond #ElrondCommunity #ElrondN…"
4,SerModAccel,"RT @CryptoChristos1: Wer hat Interesse an #PlayToEarn Spiele ? 

@PHLIPgame is ein lustiges Karten spiel ähnlich wie Cards Against Humanity…"
5,All_About_NFTs,"RT @BitFighterz: Get ready for @BitFighterz to take over the $SOL blockchain 🥷

We are giving away 50$ 🎆🏆

To win :

Like, Retweet ✅
Tag 2…"
6,JayTee_5555,"RT @axion_network: 🚨FREE #Bitcoin!🚨
Anytime you buy $AXN in the Accelerator, you will earn an #Axion Particles #NFT. The #NFTs contain Part…"
7,ramiiya_s,"RT @InfinityVoid_io: THE WAIT WAS WORTH IT!
The map for A-2 Sector has been officially released.
Check out our website for more info!

#NFT…"
8,zarynoble,"RT @Sam_samuraii: اگه دنبال یه خوشحالی از ته دل هستی، به #RBXS بپیوند.

🌐https://t.co/CjltakdvLE 

#RBXS #RBX #RBXSamurai #crypto #cryptocu…"
9,LazyDevCourt,"RT @LazylionsEtc: 🚨PSA🚨

Remember that every new minter joining the Lazylions Pack will receive a FREE NFT just for becoming a holder!! Be…"
10,rupp_ruppi,"@elongateog 🚨🚨 Elongate Bday 🚨🚨
All for charity, all for crypto!🌷
@elongateog 

#ELONGATE #ELONGATEFAMILY #ElonGateArmy #ELONGATE4CHARITY
#pancakeswap
#CryptocurrencyNews #CryptoNews #Crypto #Metaverse #NFT #Crypto #BITCOIN #bitcoinnews #bnb #Binance #BinanceSmartChain"
11,GomesShemul,"#Gonfty Market - #NFT Market with an NFT generator and auction-place to mint, buy and sell NFTs,which can be used within the gaming ecosystem as personalized in-game assets
#Metaverse #NFTs #Gaming #DeFi #Airdrop #Bounty #cryptocurrency #blockchain #decentralization #Defi #crypto https://t.co/cIWVgydkzE"
12,ZiliusMindaugas,"@ethanwnel NO ICO
NO IEO
NO Private Sales
NO VCs
PUBLIC OWNED-94,7%
 https://t.co/vXBEU3P7C3 
 https://t.co/T5nCYVf0sY
$Flux #Flux  #web3 #web30 #DeFi #POuW #FluxOS #NVIDIA #ToTheMoon #NFT #Shill #bitcoin #Gems #Nodes #crypto #altcoin #decentralized #cloud #metaverse #ETH #BTC #BSC #Solana"
13,jiwonnz,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
14,Kashif60508,"Are you looking for a project in the big trends: web3, NFT, metaverse, gaming? Gonfty is the project for you.
#Gonfty #Metaverse #NFTs #Gaming #DeFi #Airdrop #Bounty #cryptocurrency #blockchain #decentralization #Defi #NFT #crypto #BTC #Altcoin #NFTCommunity https://t.co/a8MJzE9QLh"
15,pshwantwin__,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
16,thewifitrapper,"@kahiruNFT 👀🚀💯

Lots of attention and definitely on par with the current trends. Look into it.

#nft #NFTCommunity #NFTGiveaway #NFTCollection #NFTProject #NFTartists #cryptocurrency #cryptocurrencies #crypto #WAGMI #NFTcollectibles https://t.co/3fxaDXu3IS"
17,Toros_Rider,RT @BUSD_X: 🔥🔥BIG BUYS ARE COMING IN AGAIN!! 🔥🔥#Crypto #Cryptos #cryptotrading #CryptoNews #cryptocommunity #blockchain #DeFi #BSCGems #Bin…
18,CherylWiebe68,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
19,Queen_ofcryptos,"RT @MoonKing___: Enter #NFT Renting and Earn Passive Income with $HAKA - @tribeonedefi ❗❗ 

Lands, In-Game Items and Characters are being c…"
20,SerModAccel,RT @AndyTheGreat100: $PHLIP NFT holders are rewarded everytime their hand is played! Reward shares cascade 4% of winnings going to the Phli…
21,Tushar57597302,#OceanFloorMusic #Ethereum #NFT #Crypto #Blockchain #MusicNFTs #MusicIndustry https://t.co/AReznWFikb
22,xahoi15,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
23,lumetrione,I've joined the airdrop campaign of @robotoken1 to win up to $1000 in tokens and NFTs! Check them out! https://t.co/dbn753TEB0 #airdrop #giveaway #crypto #cryptocurrency #robotoken #sherlockai #nft #nftgiveaway
24,ItaliaPartyClub,RT @MdSanto44194414: #rbx #binance #crypto #nft
25,vseran1,"RT @BMAN35032883: The Essential coin is next 500x gem! Next level utilities releasing soon! Join a winning team today! @EpochNFT 

Contract…"
26,ultracig,"MASSIVE. HOW YUI LIKE ME NOW. AS SEEN ON TV 
400,000 #vikings
- Ecosystem with #DeFi, #NFT #Metaverse, #crypto #education
partnered with 8 football clubs, massive IRL marketing campaigns, #floki #flokidao #doge #shib #F1 #tysonfury #huobi https://t.co/z4JDzEb2NS"
27,plsbi9winravn,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
28,Laofan19,"RT @100bviking: Who let the dogs out?

- $FLOKI
- $DOGE
- $SHIB

Of course, based on fundamentals #FLOKI will be the one dog to rule them a…"
29,KSchantalle,"ur purchase buy my food today so so u do charity and own super rare art both! https://t.co/623G0c4Z04 via @opensea 

#nft #EthereumNFTs #NFTartist #PolygonNFTs #PolygonNetwork #crypto #digitalart #pixelart #pixelartist @NftEliteClub #SPOILER @Jessehj1 @NFTgoonie @buttoncatz"
30,minminbigwin,"RT @laruaband: Hey guys, I stumbled upon this #NFT project... 
 
Ape2Earn is crazy 🚀
Join them!☀️

Prizes:
🏆5x Free NFT
🏆10x Whitelist

To…"
31,olatslagi,"RT @lcx: 🚀@Envisionstockio $VIS token sale is live on LCX 

💻 Participate in the token sale now

📖 Read how to join #VIS Token sale https:/…"
32,MdSanto44194414,#rbx #binance #crypto #nft https://t.co/TUbNwzgtYn
33,ultracig,"@RealFlokiInu HOW YUI LIKE ME NOW. AS SEEN ON TV 
400,000 #vikings
- Ecosystem with #DeFi, #NFT #Metaverse, #crypto #education
partnered with 8 football clubs, massive IRL marketing campaigns, #floki #flokidao #doge #shib #F1 #tysonfury #huobi https://t.co/s5t42B9Yjv"
34,opah_rej,RT @WhaleCartel: The team at Whale Cartel are pleased to announce the release of our #limitededition #whalecartel #NFT collection dropping…
35,Sohylasamurai2,"RT @Shido_samuraii: #RBXS یک ارز با قدرت در آینده کریپتو 💪هست
به جامعه ما بپیوندید...👥👥👥

🌐https://t.co/spTgOEOmdo

#RBXS #RBX #RBXSamurai…"
36,zekeart77_,"RT @CK_DAO: 🚨Giving away 15 Whitelist Spots 🚨

- Follow 
@CK_DAO
 
- Like &amp; RT  
- Tag Your Friends (1 tag = 1 entry)

Bonus Join the Disco…"
37,karenthacker47,"@Crypti69 Check it out! @AngelicTheGame!
Half of your time will be spent on 
battles where you lead your team 
for hit and run missions.

#blockchain #GameFi #DAOs #NFT #Crypto"
38,iyogiyah,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
39,Coming_Nft,"RT @Coming_Nft: ⚠️ FREE #NFTGiveaway ⚠️

🎁Prizes: 
1x #NFT from my client🏆
1 #SOL ($100)💰

To Enter:
1️⃣Follow @CyborgCatsDAO 
2️⃣❤️‍🔥+ RT…"
40,LuckyBigwiiin,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
41,SquareFaceNftz,"RT @myinternetfrens: #WELOVETHEINTERNET

Let’s make new frenships! We’re going to give away (10) FREE FRENS!

Rules

❤️ Follow @myinternetf…"
42,Bininyadaniiik,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
43,rmmaya123,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
44,ASBathL1,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
45,Nafas_f77,"RT @NAKAMATO_S10: همین الان به تیم ما ملحق شو!
انجمن #RBXS به شدت دوست دارد که از ایده های خلاقانه شما برای بازاریابی استفاده کند😎💪

👍🌐http…"
46,NishatMoral,"RT @solidus_v: Some news footage from the #ccforum #bahrain @solidus_v @NovaCoin1.

https://t.co/7uIEuGG49O

@BitMartExchange @Hotbit_news…"
47,AirlNFT,RT @mimuniverseio: MiM UNIVERSE - NFT project is based on MiM known as Facebook stickers. MiM's nickname is Mobile Girl. This is because sh…
48,momoo_0107,"RT @TheNFTCircle: We are excited to be giving away 5 whitelist spots to @kurorobeast

To be eligible you must:
✅Like &amp; Retweet
✅Tag 3 Frien…"
49,Soykot17041772,"RT @DaoRobotto: New Intel Chip will be released, focused specifically on #blockchain technologies, in particular #bitcoin mining and mint #…"
50,araaluckwin,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
51,0xSufe2022,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
52,AhmadH0808,"RT @AIRDROP3025: GET FREE $9 USDT FOR FIRST 1000 PERSON. 

FOLLOW +RT = $9USDT 

TRANSFER AFTER 24HOURS
SHARE YOUR USDT ADDRESS

#usdt #Tre…"
53,coolmanpjh,"RT @AmeruNetwork: $ADAO 💎
Buy here: https://t.co/2WBpP57TWq 

Or #PancakeSwap

🌐https://t.co/PJDHGlNcWw 

#adaotoken #adaocrypto #amerudao…"
